"filename", "language", "Python", "Shell Script", "reStructuredText", "Batch", "JSON", "Makefile", "XML", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Repository\pcscf_service_tool\config\PROD\connections.json", "JSON", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 1, 127
"c:\Repository\pcscf_service_tool\config\PROD\connections.xgntools.json", "JSON", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 1, 127
"c:\Repository\pcscf_service_tool\config\PROD\pcscf-messages.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Repository\pcscf_service_tool\config\PROD\pcscf-node.ft.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Repository\pcscf_service_tool\config\PROD\pcscf-node.json", "JSON", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Repository\pcscf_service_tool\config\PROD\pcscf-service-tool.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Repository\pcscf_service_tool\config\PROD\pcscf-smfvoice.ft.json", "JSON", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Repository\pcscf_service_tool\config\PROD\smfvoice-ippools.json", "JSON", 0, 0, 0, 0, 1326, 0, 0, 0, 0, 0, 0, 1, 1327
"c:\Repository\pcscf_service_tool\config\PROD\stub.json", "JSON", 0, 0, 0, 0, 294, 0, 0, 0, 0, 0, 0, 1, 295
"c:\Repository\pcscf_service_tool\config\connections.json", "JSON", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\Repository\pcscf_service_tool\config\connections.test.json", "JSON", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\Repository\pcscf_service_tool\config\connections.xgntools.json", "JSON", 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 1, 82
"c:\Repository\pcscf_service_tool\config\pcscf-messages.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
