Date : 2022-12-12 18:24:12
Directory : c:\Repository\pcscf_service_tool
Total : 132 files,  47133 codes, 8278 comments, 8948 blanks, all 64359 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |         29 |     18,239 |      4,984 |      4,847 |     28,070 |
| Python           |         23 |     10,228 |      3,072 |      2,511 |     15,811 |
| HTML             |         30 |      8,074 |         90 |      1,109 |      9,273 |
| XML              |          3 |      6,064 |          2 |          3 |      6,069 |
| JSON             |         19 |      2,831 |          0 |         19 |      2,850 |
| CSS              |          8 |      1,514 |         68 |        374 |      1,956 |
| reStructuredText |         14 |        106 |         18 |         48 |        172 |
| Batch            |          3 |         56 |          0 |         20 |         76 |
| Makefile         |          2 |         18 |         14 |         10 |         42 |
| Shell Script     |          1 |          3 |         30 |          7 |         40 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        132 |     47,133 |      8,278 |      8,948 |     64,359 |
| config                                                                                               |         17 |      2,719 |          0 |         17 |      2,736 |
| config\PROD                                                                                          |          9 |      1,997 |          0 |          9 |      2,006 |
| docs_en                                                                                              |         44 |     16,726 |      2,601 |      3,221 |     22,548 |
| docs_en\_build                                                                                       |         34 |     16,624 |      2,575 |      3,174 |     22,373 |
| docs_en\_build\html                                                                                  |         34 |     16,624 |      2,575 |      3,174 |     22,373 |
| docs_en\_build\html\_modules                                                                         |          5 |      1,518 |         15 |        312 |      1,845 |
| docs_en\_build\html\_modules\src                                                                     |          4 |      1,426 |         12 |        296 |      1,734 |
| docs_en\_build\html\_static                                                                          |         18 |     12,590 |      2,530 |      2,619 |     17,739 |
| docs_en\_build\html\_static\css                                                                      |          3 |      2,674 |          2 |          1 |      2,677 |
| docs_en\_build\html\_static\css\fonts                                                                |          1 |      2,671 |          0 |          1 |      2,672 |
| docs_en\_build\html\_static\js                                                                       |          4 |          4 |          6 |          0 |         10 |
| docs_ja                                                                                              |         45 |     16,648 |      2,593 |      3,205 |     22,446 |
| docs_ja\_build                                                                                       |         35 |     16,545 |      2,567 |      3,158 |     22,270 |
| docs_ja\_build\html                                                                                  |         35 |     16,545 |      2,567 |      3,158 |     22,270 |
| docs_ja\_build\html\_modules                                                                         |          5 |      1,523 |         15 |        312 |      1,850 |
| docs_ja\_build\html\_modules\src                                                                     |          4 |      1,430 |         12 |        296 |      1,738 |
| docs_ja\_build\html\_static                                                                          |         19 |     12,503 |      2,522 |      2,602 |     17,627 |
| docs_ja\_build\html\_static\css                                                                      |          3 |      2,674 |          2 |          1 |      2,677 |
| docs_ja\_build\html\_static\css\fonts                                                                |          1 |      2,671 |          0 |          1 |      2,672 |
| docs_ja\_build\html\_static\js                                                                       |          4 |          4 |          6 |          0 |         10 |
| src                                                                                                  |          5 |        904 |        496 |        197 |      1,597 |
| tests                                                                                                |         18 |      9,409 |      2,556 |      2,298 |     14,263 |
| tests\config                                                                                         |          2 |        112 |          0 |          2 |        114 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                             | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Repository\pcscf_service_tool\config\PROD\connections.json                                        | JSON             |        126 |          0 |          1 |        127 |
| c:\Repository\pcscf_service_tool\config\PROD\connections.xgntools.json                               | JSON             |        126 |          0 |          1 |        127 |
| c:\Repository\pcscf_service_tool\config\PROD\pcscf-messages.json                                     | JSON             |         28 |          0 |          1 |         29 |
| c:\Repository\pcscf_service_tool\config\PROD\pcscf-node.ft.json                                      | JSON             |         12 |          0 |          1 |         13 |
| c:\Repository\pcscf_service_tool\config\PROD\pcscf-node.json                                         | JSON             |         47 |          0 |          1 |         48 |
| c:\Repository\pcscf_service_tool\config\PROD\pcscf-service-tool.json                                 | JSON             |          4 |          0 |          1 |          5 |
| c:\Repository\pcscf_service_tool\config\PROD\pcscf-smfvoice.ft.json                                  | JSON             |         34 |          0 |          1 |         35 |
| c:\Repository\pcscf_service_tool\config\PROD\smfvoice-ippools.json                                   | JSON             |      1,326 |          0 |          1 |      1,327 |
| c:\Repository\pcscf_service_tool\config\PROD\stub.json                                               | JSON             |        294 |          0 |          1 |        295 |
| c:\Repository\pcscf_service_tool\config\connections.json                                             | JSON             |         81 |          0 |          1 |         82 |
| c:\Repository\pcscf_service_tool\config\connections.test.json                                        | JSON             |         81 |          0 |          1 |         82 |
| c:\Repository\pcscf_service_tool\config\connections.xgntools.json                                    | JSON             |         81 |          0 |          1 |         82 |
| c:\Repository\pcscf_service_tool\config\pcscf-messages.json                                          | JSON             |         28 |          0 |          1 |         29 |
| c:\Repository\pcscf_service_tool\config\pcscf-node.json                                              | JSON             |          8 |          0 |          1 |          9 |
| c:\Repository\pcscf_service_tool\config\pcscf-service-tool.json                                      | JSON             |          4 |          0 |          1 |          5 |
| c:\Repository\pcscf_service_tool\config\smfvoice-ippools.json                                        | JSON             |        145 |          0 |          1 |        146 |
| c:\Repository\pcscf_service_tool\config\stub.json                                                    | JSON             |        294 |          0 |          1 |        295 |
| c:\Repository\pcscf_service_tool\coverage.xml                                                        | XML              |        722 |          2 |          1 |        725 |
| c:\Repository\pcscf_service_tool\docs_en\Makefile                                                    | Makefile         |          9 |          7 |          5 |         21 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_modules\index.html                             | HTML             |         92 |          3 |         16 |        111 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_modules\src\eri_connection.html                | HTML             |        282 |          3 |         69 |        354 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_modules\src\eri_connection_stub.html           | HTML             |        214 |          3 |         32 |        249 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_modules\src\pcscf_service_common.html          | HTML             |        161 |          3 |         34 |        198 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_modules\src\pcscf_service_tool.html            | HTML             |        769 |          3 |        161 |        933 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\_sphinx_javascript_frameworks_compat.js | JavaScript       |         91 |         34 |         10 |        135 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\basic.css                               | CSS              |        680 |         32 |        187 |        899 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\css\badge_only.css                      | CSS              |          1 |          0 |          0 |          1 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\css\fonts\fontawesome-webfont.svg       | XML              |      2,671 |          0 |          1 |      2,672 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\css\theme.css                           | CSS              |          2 |          2 |          0 |          4 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\doctools.js                             | JavaScript       |        201 |         38 |         26 |        265 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\documentation_options.js                | JavaScript       |         14 |          0 |          0 |         14 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\jquery-3.6.0.js                         | JavaScript       |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\jquery.js                               | JavaScript       |          1 |          1 |          1 |          3 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\js\badge_only.js                        | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\js\html5shiv-printshiv.min.js           | JavaScript       |          1 |          3 |          0 |          4 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\js\html5shiv.min.js                     | JavaScript       |          1 |          3 |          0 |          4 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\js\theme.js                             | JavaScript       |          1 |          0 |          0 |          1 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\language_data.js                        | JavaScript       |        154 |         23 |         23 |        200 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\pygments.css                            | CSS              |         74 |          0 |          0 |         74 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\searchtools.js                          | JavaScript       |        355 |        109 |         67 |        531 |
| c:\Repository\pcscf_service_tool\docs_en\_build\html\_static\underscore-1.13.1.js                    | JavaScript       |      1,445 |        370 |        228 |      2,043 |
